City_ID,City,Country,Current Conditions,Lat,Lng,Max Temp,Hotel Name
14,Lagoa,PT,light rain,39.05,-27.98,56.95,Casa Das Faias
23,Hithadhoo,MV,light rain,-0.6,73.08,83.16,Scoop Guest House
33,Bengkulu,ID,moderate rain,-3.8,102.27,78.73,Grage Hotel Bengkulu
35,Hermanus,ZA,light rain,-34.42,19.23,64.0,Misty Waves Boutique Hotel
44,Meulaboh,ID,light rain,4.14,96.13,80.47,Kost Pria
54,Tevriz,RU,light rain,57.51,72.4,36.52,Postoyalyy Dvor
80,Tukrah,LY,light rain,32.53,20.58,61.99,استراحة لاقروتا
81,Itarema,BR,light rain,-2.92,-39.92,84.07,Windvillage
95,Ipora,BR,light rain,-16.44,-51.12,83.07,Oásis Motel
99,Kudahuvadhoo,MV,light rain,2.67,72.89,84.15,Kudahuvadhoo Retreat
100,Strangnas,SE,light rain,59.38,17.03,48.99,"Hotel Bishops Arms, Strängnäs"
101,Caluquembe,AO,moderate rain,-13.78,14.68,68.52,
121,Tonj,SS,light rain,7.27,28.68,93.16,
131,Codrington,AU,light rain,-38.27,141.97,54.63,Codrington Gardens Bed And Breakfast
149,Gamba,GA,light rain,-2.65,10.0,83.57,
164,Elesbao Veloso,BR,moderate rain,-6.2,-42.14,87.01,Pousada Paraiso
167,Presidente Olegario,BR,light rain,-18.42,-46.42,82.42,Cruzeiro Hotel
175,Mendi,PG,light rain,-6.18,143.65,55.49,Kiburu Lodge
188,Dunda,TZ,light rain,-8.12,34.25,75.69,
191,Acara,BR,moderate rain,-1.96,-48.2,85.66,Hotel Vale do Acará
210,Kikwit,CD,light rain,-5.04,18.82,88.05,Centre D'Accueil Protestant
222,Isiolo,KE,light rain,0.35,37.58,78.57,Gaddisa Hotel
233,Tabuk,PH,light rain,17.42,121.44,74.1,Grand Zion Garden Resort Hotel
279,Dergachi,RU,light rain,51.23,48.77,46.27,
281,Carutapera,BR,moderate rain,-1.2,-46.02,83.59,Lidera
292,Saurimo,AO,light rain,-9.66,20.39,76.14,Hotel Kawissa Saurimo
302,Bonthe,SL,light rain,7.53,-12.51,87.19,Bonthe Holiday Village
312,Morondava,MG,light rain,-20.28,44.28,81.12,La Case Bambou
323,Manono,CD,light rain,-7.3,27.42,83.12,Hotel hewa bora
331,Lubango,AO,moderate rain,-14.92,13.49,69.01,Hotel Serra da Chela
332,Conceicao Do Araguaia,BR,light rain,-8.26,-49.26,90.63,Tarumã Tropical Hotel
338,Cururupu,BR,moderate rain,-1.83,-44.87,84.02,Pousada Través'cia
352,Mattru,SL,light rain,7.62,-11.83,92.41,Boima Gbondo's Compound
366,Paragominas,BR,light rain,-2.97,-47.48,88.74,HOTEL RODA VIVA
372,Barras,BR,light rain,-4.24,-42.29,89.44,DIMAS HOTEL
383,Mitu,CO,light rain,1.2,-70.17,78.08,
392,Liwale,TZ,light rain,-9.77,37.93,77.9,Samoma Lodge
393,Polonnaruwa,LK,light rain,7.93,81.0,79.32,Thisara Guest House
405,Ambilobe,MG,light rain,-13.2,49.05,77.23,Hôtel & Restaurant DIANA Ambilobe
422,San Matias,BO,light rain,-16.37,-58.4,86.11,"HOTEL ""SAN JOSE"""
429,Shakiso,ET,light rain,5.75,38.92,69.21,ከለቻ Kelecha
441,Kumba,CM,light rain,4.64,9.45,94.14,El Bethel Hotel
458,Puerto Quijarro,BO,light rain,-17.78,-57.77,90.05,Hotel palance
461,Irtyshskiy,RU,light rain,58.33,68.13,38.35,
462,Betafo,MG,light rain,-19.83,46.85,64.17,CHEZ MALALA
472,Camopi,GF,light rain,3.17,-52.32,86.38,
474,Salinopolis,BR,moderate rain,-0.61,-47.36,83.34,Hotel Salinópolis
494,Amapa,BR,light rain,1.0,-52.0,84.88,
507,Miram Shah,PK,light rain,33.01,70.07,61.86,Bachelor Hostel
510,Martyush,RU,light rain,56.4,61.88,38.75,Hotel Yuzhnaia
526,Katete,UG,light rain,-0.78,29.75,75.38,
529,La Tuque,CA,light rain,47.43,-72.78,36.9,Le Gite du Parc
530,Mbanza-Ngungu,CD,light rain,-5.25,14.87,77.76,Hotel Full Business
537,Muli,MV,light rain,2.92,73.57,84.7,Medhufushi Island Resort
550,Kabalo,CD,light rain,-6.05,26.92,82.27,
551,Sumbe,AO,moderate rain,-11.21,13.84,83.01,Hotel Ritz Sumbe
